Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
DRL35,15.7,Low Fat,0.030765898,Hard Drinks,43.277,OUT045,2002,,Tier 2,Supermarket Type1,649.155
FDZ40,8.935,Low Fat,0.040410039,Frozen Foods,52.9298,OUT017,2007,,Tier 2,Supermarket Type1,539.298
DRM49,6.11,Regular,0.152262171,Soft Drinks,44.4086,OUT045,2002,,Tier 2,Supermarket Type1,1159.8236
FDH05,14.35,Regular,0.09089645199999999,Frozen Foods,231.2984,OUT035,2004,Small,Tier 2,Supermarket Type1,6024.1584
FDR31,6.46,Regular,0.04923932,Fruits and Vegetables,144.4102,OUT049,1999,Medium,Tier 1,Supermarket Type1,4374.306
FDV28,16.1,Regular,0.160379061,Frozen Foods,33.6558,OUT018,2009,Medium,Tier 3,Supermarket Type2,203.7348
DRP35,,Low Fat,0.090427268,Hard Drinks,126.2336,OUT027,1985,Medium,Tier 3,Supermarket Type3,3195.84
NCF42,17.35,Low Fat,0.16772251900000001,Household,176.3712,OUT045,2002,,Tier 2,Supermarket Type1,1054.6272
FDO58,19.6,Low Fat,0.039738393,Snack Foods,163.7526,OUT018,2009,Medium,Tier 3,Supermarket Type2,2960.1468
FDV22,14.85,Regular,0.009995002,Snack Foods,154.463,OUT017,2007,,Tier 2,Supermarket Type1,3755.112
FDS37,7.655,Low Fat,0.032125561000000004,Canned,115.7492,OUT017,2007,,Tier 2,Supermarket Type1,2548.6824
FDV16,7.75,reg,0.083268523,Frozen Foods,32.9558,OUT018,2009,Medium,Tier 3,Supermarket Type2,101.8674
FDG09,20.6,Regular,0.0480335,Fruits and Vegetables,188.2556,OUT045,2002,,Tier 2,Supermarket Type1,3755.112
FDG57,14.7,Low Fat,0.072707309,Fruits and Vegetables,49.5034,OUT017,2007,,Tier 2,Supermarket Type1,291.6204
NCB07,19.2,Low Fat,0.12973174699999998,Household,196.21099999999998,OUT010,1998,,Tier 3,Grocery Store,589.2330000000001
FDL04,19.0,Low Fat,0.11209743300000001,Frozen Foods,105.5622,OUT049,1999,Medium,Tier 1,Supermarket Type1,1905.5196
NCR06,12.5,Low Fat,0.006759519,Household,42.8112,OUT013,1987,High,Tier 3,Supermarket Type1,639.168
FDA04,11.3,Regular,0.066833743,Frozen Foods,257.2962,OUT049,1999,Medium,Tier 1,Supermarket Type1,2330.9658
FDU19,8.77,Regular,0.0,Fruits and Vegetables,173.6422,OUT013,1987,High,Tier 3,Supermarket Type1,517.3266
FDZ09,17.6,Low Fat,0.10487896699999999,Snack Foods,164.8868,OUT046,1997,Small,Tier 1,Supermarket Type1,2456.802
FDA01,15.0,Regular,0.091018048,Canned,60.2904,OUT010,1998,,Tier 3,Grocery Store,117.1808
FDN28,5.88,Regular,0.030418998,Frozen Foods,103.09899999999999,OUT017,2007,,Tier 2,Supermarket Type1,1341.5870000000002
NCO30,19.5,Low Fat,0.015749341,Household,182.2608,OUT049,1999,Medium,Tier 1,Supermarket Type1,3307.6944
FDG09,20.6,Regular,0.048010812,Fruits and Vegetables,187.7556,OUT049,1999,Medium,Tier 1,Supermarket Type1,3004.0896
FDE24,14.85,Low Fat,0.09384335,Baking Goods,142.3812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496
FDQ31,,Regular,0.053586458,Fruits and Vegetables,89.7856,OUT027,1985,Medium,Tier 3,Supermarket Type3,966.7416
NCJ43,,Low Fat,0.026938317000000003,Household,174.1396,OUT027,1985,Medium,Tier 3,Supermarket Type3,4012.1108
FDW48,18.0,Low Fat,0.008575615,Baking Goods,80.2618,OUT018,2009,Medium,Tier 3,Supermarket Type2,644.4944
FDW09,13.65,reg,0.025899245,Snack Foods,81.1302,OUT013,1987,High,Tier 3,Supermarket Type1,792.302
FDZ48,17.75,LF,0.07607772,Baking Goods,112.4544,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424
FDW11,,Low Fat,0.048545853,Breads,60.1194,OUT027,1985,Medium,Tier 3,Supermarket Type3,1114.5492
FDJ45,,Low Fat,0.073055148,Seafood,33.7216,OUT027,1985,Medium,Tier 3,Supermarket Type3,1280.9992
FDY39,5.305,Regular,0.04710181,Meat,181.8608,OUT049,1999,Medium,Tier 1,Supermarket Type1,4594.02
FDN45,19.35,Low Fat,0.118342285,Snack Foods,222.6088,OUT045,2002,,Tier 2,Supermarket Type1,1789.6704
FDX09,,Low Fat,0.11424304800000001,Snack Foods,174.937,OUT019,1985,Small,Tier 1,Grocery Store,176.437
DRD24,13.85,Low Fat,0.030969273999999998,Soft Drinks,140.9154,OUT017,2007,,Tier 2,Supermarket Type1,1701.7848
NCM05,6.825,Low Fat,0.059835659000000006,Health and Hygiene,264.3226,OUT035,2004,Small,Tier 2,Supermarket Type1,4229.1616
FDF02,16.2,Low Fat,0.104058452,Canned,102.499,OUT017,2007,,Tier 2,Supermarket Type1,2063.98
FDZ09,17.6,Low Fat,0.10479168900000001,Snack Foods,165.2868,OUT013,1987,High,Tier 3,Supermarket Type1,3111.9492
NCP42,,Low Fat,0.028207784,Household,195.5478,OUT019,1985,Small,Tier 1,Grocery Store,387.4956
FDT55,,Regular,0.043443752999999995,Fruits and Vegetables,158.1946,OUT027,1985,Medium,Tier 3,Supermarket Type3,6942.9624
FDZ52,,Low Fat,0.099589909,Frozen Foods,109.1886,OUT027,1985,Medium,Tier 3,Supermarket Type3,4225.1668
FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,OUT017,2007,,Tier 2,Supermarket Type1,2732.4432
FDM51,11.8,Regular,0.026072872,Meat,99.8674,OUT017,2007,,Tier 2,Supermarket Type1,1018.674
FDY57,20.2,Regular,0.121254236,Snack Foods,94.5752,OUT046,1997,Small,Tier 1,Supermarket Type1,1821.6288
FDP24,20.6,Low Fat,0.083172413,Baking Goods,121.0756,OUT045,2002,,Tier 2,Supermarket Type1,1696.4584
FDA47,,Regular,0.11610879699999999,Baking Goods,164.12099999999998,OUT027,1985,Medium,Tier 3,Supermarket Type3,6035.477
FDJ12,8.895,Regular,0.039008625,Baking Goods,209.0296,OUT013,1987,High,Tier 3,Supermarket Type1,2285.0256
NCI43,19.85,Low Fat,0.025947095,Household,46.9376,OUT013,1987,High,Tier 3,Supermarket Type1,575.2512
DRL37,15.5,Low Fat,0.053480419,Soft Drinks,42.376999999999995,OUT045,2002,,Tier 2,Supermarket Type1,1211.756
FDU57,,Regular,0.089120516,Snack Foods,149.8708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3611.2992
NCI18,18.35,Low Fat,0.014052469,Household,224.0746,OUT045,2002,,Tier 2,Supermarket Type1,1346.2476
FDP34,12.85,Low Fat,0.0,Snack Foods,155.463,OUT035,2004,Small,Tier 2,Supermarket Type1,4068.038
NCM41,16.5,Low Fat,0.035711426,Health and Hygiene,93.61200000000001,OUT049,1999,Medium,Tier 1,Supermarket Type1,1584.604
FDD44,8.05,Regular,0.07838564,Fruits and Vegetables,256.4646,OUT035,2004,Small,Tier 2,Supermarket Type1,5153.292
FDQ55,13.65,Regular,0.013091186000000001,Fruits and Vegetables,114.8834,OUT018,2009,Medium,Tier 3,Supermarket Type2,1612.5676
FDR12,12.6,Regular,0.031713126,Baking Goods,172.5764,OUT017,2007,,Tier 2,Supermarket Type1,1030.6584
FDL08,10.8,Low Fat,0.049677650999999996,Fruits and Vegetables,245.9144,OUT013,1987,High,Tier 3,Supermarket Type1,4655.2736
NCB43,20.2,Low Fat,0.0,Household,187.1898,OUT013,1987,High,Tier 3,Supermarket Type1,2993.4368
DRD27,18.75,Low Fat,0.023974769,Dairy,99.0042,OUT017,2007,,Tier 2,Supermarket Type1,694.4294
NCN07,18.5,Low Fat,0.033997473,Others,129.9284,OUT049,1999,Medium,Tier 1,Supermarket Type1,1845.5976
FDZ23,17.75,Regular,0.067639698,Baking Goods,187.62400000000002,OUT045,2002,,Tier 2,Supermarket Type1,1491.392
FDN24,,Low Fat,0.19831664899999998,Baking Goods,54.3956,OUT019,1985,Small,Tier 1,Grocery Store,272.978
DRK13,11.8,Low Fat,0.11507174,Soft Drinks,198.2084,OUT013,1987,High,Tier 3,Supermarket Type1,3769.7596
DRM23,16.6,Low Fat,0.135707553,Hard Drinks,170.6422,OUT035,2004,Small,Tier 2,Supermarket Type1,1379.5376
FDP57,17.5,low fat,0.052434201,Snack Foods,103.999,OUT035,2004,Small,Tier 2,Supermarket Type1,1857.582
FDZ33,10.195,Low Fat,0.0,Snack Foods,147.2076,OUT010,1998,,Tier 3,Grocery Store,739.038
FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,2007,,Tier 2,Supermarket Type1,1910.1802
FDD28,,Low Fat,0.053038775,Frozen Foods,59.5904,OUT027,1985,Medium,Tier 3,Supermarket Type3,1640.5312
FDV14,19.85,Low Fat,0.044460448,Dairy,88.7856,OUT013,1987,High,Tier 3,Supermarket Type1,1142.5128
FDH40,11.6,Regular,0.132111921,Frozen Foods,82.2276,OUT010,1998,,Tier 3,Grocery Store,243.6828
DRF03,19.1,Low Fat,0.045270425999999996,Dairy,38.8138,OUT013,1987,High,Tier 3,Supermarket Type1,731.0484
FDQ45,,Regular,0.019114349,Snack Foods,182.1608,OUT019,1985,Small,Tier 1,Grocery Store,367.5216
FDL20,17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,OUT018,2009,Medium,Tier 3,Supermarket Type2,1779.0176
FDQ59,,Regular,0.0,Breads,84.5908,OUT027,1985,Medium,Tier 3,Supermarket Type3,3020.0688
FDO01,21.1,Regular,0.020750867,Breakfast,128.7994,OUT049,1999,Medium,Tier 1,Supermarket Type1,1927.491
DRE12,,Low Fat,0.07043780000000001,Soft Drinks,112.88600000000001,OUT027,1985,Medium,Tier 3,Supermarket Type3,2942.836
NCE55,8.92,Low Fat,0.130191993,Household,176.83700000000002,OUT045,2002,,Tier 2,Supermarket Type1,2117.244
FDS19,13.8,Regular,0.064195136,Fruits and Vegetables,75.8012,OUT035,2004,Small,Tier 2,Supermarket Type1,1138.518
FDY20,12.5,Regular,0.08208578700000001,Fruits and Vegetables,92.2488,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.2320000000002
FDF05,17.5,Low Fat,0.026848529,Frozen Foods,264.89099999999996,OUT013,1987,High,Tier 3,Supermarket Type1,4996.829000000001
FDU36,6.15,Low Fat,0.046262200999999996,Baking Goods,97.8384,OUT035,2004,Small,Tier 2,Supermarket Type1,2069.3064
FDJ41,6.85,LF,0.02288328,Frozen Foods,261.2594,OUT046,1997,Small,Tier 1,Supermarket Type1,2878.2534
DRL59,,Low Fat,0.037160705,Hard Drinks,54.2298,OUT019,1985,Small,Tier 1,Grocery Store,161.7894
FDH32,12.8,Low Fat,0.076214289,Fruits and Vegetables,96.541,OUT045,2002,,Tier 2,Supermarket Type1,1834.279
NCY53,,Low Fat,0.058198140999999995,Health and Hygiene,110.4544,OUT027,1985,Medium,Tier 3,Supermarket Type3,4250.4672
FDE24,14.85,Low Fat,0.09344495,Baking Goods,141.0812,OUT035,2004,Small,Tier 2,Supermarket Type1,1139.8496
FDX35,5.035,Regular,0.079844043,Breads,226.3036,OUT013,1987,High,Tier 3,Supermarket Type1,4098.6648
NCK29,5.615,Low Fat,0.125964559,Health and Hygiene,124.773,OUT049,1999,Medium,Tier 1,Supermarket Type1,2956.152
FDX19,19.1,Low Fat,0.096929994,Fruits and Vegetables,233.8958,OUT045,2002,,Tier 2,Supermarket Type1,2103.2622
DRF01,,Low Fat,0.30654284800000003,Soft Drinks,147.3102,OUT019,1985,Small,Tier 1,Grocery Store,291.6204
FDV48,9.195,Regular,0.051908824000000006,Baking Goods,78.1644,OUT017,2007,,Tier 2,Supermarket Type1,1414.1592
FDJ20,20.7,Regular,0.100378096,Fruits and Vegetables,122.4388,OUT045,2002,,Tier 2,Supermarket Type1,1238.388
FDM39,6.42,Low Fat,0.053688479000000004,Dairy,178.3002,OUT018,2009,Medium,Tier 3,Supermarket Type2,2328.3026
FDP11,15.85,Low Fat,0.11566015,Breads,218.3166,OUT010,1998,,Tier 3,Grocery Store,435.4332
FDW35,10.6,Low Fat,0.011087128,Breads,41.4454,OUT035,2004,Small,Tier 2,Supermarket Type1,1468.089
FDB20,7.72,Low Fat,0.052274691,Fruits and Vegetables,79.1986,OUT017,2007,,Tier 2,Supermarket Type1,778.9860000000001
FDC44,15.6,Low Fat,0.17357316399999997,Fruits and Vegetables,114.4518,OUT017,2007,,Tier 2,Supermarket Type1,2390.8878
FDO51,,Regular,0.041779181,Meat,43.4112,OUT027,1985,Medium,Tier 3,Supermarket Type3,1107.8912
FDO28,,Low Fat,0.071948252,Frozen Foods,121.6098,OUT027,1985,Medium,Tier 3,Supermarket Type3,482.0392
FDF34,9.3,Regular,0.01404119,Snack Foods,199.1084,OUT049,1999,Medium,Tier 1,Supermarket Type1,396.8168
FDF53,20.75,Regular,0.083590755,Frozen Foods,182.2318,OUT035,2004,Small,Tier 2,Supermarket Type1,3067.3406
FDN25,7.895,Regular,0.061124625999999994,Breakfast,58.5588,OUT013,1987,High,Tier 3,Supermarket Type1,171.7764
NCN43,12.15,Low Fat,0.006754117,Others,122.17299999999999,OUT013,1987,High,Tier 3,Supermarket Type1,2586.633
FDJ07,7.26,Low Fat,0.014482278000000001,Meat,118.115,OUT018,2009,Medium,Tier 3,Supermarket Type2,1864.24
FDB10,10.0,Low Fat,0.0674819,Snack Foods,234.859,OUT018,2009,Medium,Tier 3,Supermarket Type2,1181.795
FDY10,17.6,Low Fat,0.049067877,Snack Foods,115.6176,OUT046,1997,Small,Tier 1,Supermarket Type1,2519.3872
FDR52,12.65,Regular,0.07647472799999999,Frozen Foods,191.8846,OUT017,2007,,Tier 2,Supermarket Type1,1146.5076
FDN03,9.8,Regular,0.015089965,Meat,249.6408,OUT046,1997,Small,Tier 1,Supermarket Type1,1001.3632
FDG57,14.7,Low Fat,0.121012632,Fruits and Vegetables,49.4034,OUT010,1998,,Tier 3,Grocery Store,194.4136
FDS20,8.85,Low Fat,0.053950661,Fruits and Vegetables,182.7292,OUT049,1999,Medium,Tier 1,Supermarket Type1,4925.5884
DRO35,13.85,LF,0.034765901,Hard Drinks,114.2492,OUT017,2007,,Tier 2,Supermarket Type1,1853.5872
FDJ45,17.75,Low Fat,0.073349552,Seafood,34.2216,OUT013,1987,High,Tier 3,Supermarket Type1,934.7832
FDE34,9.195,Low Fat,0.18058808199999998,Snack Foods,182.2634,OUT010,1998,,Tier 3,Grocery Store,363.5268
FDO52,11.6,Regular,0.07715000400000001,Frozen Foods,170.2106,OUT035,2004,Small,Tier 2,Supermarket Type1,1882.2166
FDW07,18.0,Regular,0.14349595199999998,Fruits and Vegetables,88.7514,OUT017,2007,,Tier 2,Supermarket Type1,1062.6168
FDJ04,18.0,Low Fat,0.12445204800000001,Frozen Foods,118.5124,OUT046,1997,Small,Tier 1,Supermarket Type1,1303.6364
FDS28,8.18,Regular,0.082568705,Frozen Foods,56.1588,OUT045,2002,,Tier 2,Supermarket Type1,458.0704
FDR02,16.7,LF,0.022155562,Dairy,109.5886,OUT018,2009,Medium,Tier 3,Supermarket Type2,1000.6974
DRG49,7.81,Low Fat,0.06783685099999999,Soft Drinks,246.1486,OUT017,2007,,Tier 2,Supermarket Type1,5375.6692
FDA02,14.0,Regular,0.029843736000000003,Dairy,143.9786,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.8716
FDT48,4.92,LF,0.045916788,Baking Goods,198.8084,OUT013,1987,High,Tier 3,Supermarket Type1,2976.1259999999997
FDX03,15.85,Regular,0.061190964,Meat,47.1744,OUT049,1999,Medium,Tier 1,Supermarket Type1,996.0368
FDC39,7.405,Low Fat,0.0,Dairy,205.7296,OUT017,2007,,Tier 2,Supermarket Type1,4570.0512
FDX60,14.35,Low Fat,0.080922439,Baking Goods,80.096,OUT018,2009,Medium,Tier 3,Supermarket Type2,1278.336
FDP52,18.7,Regular,0.0,Frozen Foods,229.201,OUT035,2004,Small,Tier 2,Supermarket Type1,3215.8140000000003
FDR01,5.405,Regular,0.053730029000000006,Canned,199.0742,OUT045,2002,,Tier 2,Supermarket Type1,4777.7808
FDG50,7.405,Low Fat,0.015334003,Canned,92.7146,OUT018,2009,Medium,Tier 3,Supermarket Type2,1185.7898
FDW49,19.5,Low Fat,0.08301916299999999,Canned,180.2002,OUT017,2007,,Tier 2,Supermarket Type1,5193.9058
FDY45,17.5,Low Fat,0.026248606,Snack Foods,255.1356,OUT018,2009,Medium,Tier 3,Supermarket Type2,3815.034
FDI08,18.2,Regular,0.06667205799999999,Fruits and Vegetables,248.1092,OUT017,2007,,Tier 2,Supermarket Type1,4233.1564
FDW44,9.5,Regular,0.058835927999999996,Fruits and Vegetables,170.2448,OUT010,1998,,Tier 3,Grocery Store,170.4448
FDE38,,Low Fat,0.044391149000000005,Canned,164.3842,OUT027,1985,Medium,Tier 3,Supermarket Type3,4476.1734
FDK04,,Low Fat,0.052058710999999994,Frozen Foods,55.5588,OUT027,1985,Medium,Tier 3,Supermarket Type3,1145.1760000000002
FDD57,18.1,Low Fat,0.022399592000000003,Fruits and Vegetables,96.0094,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.9786
FDZ14,7.71,Regular,0.047857877,Dairy,119.7756,OUT017,2007,,Tier 2,Supermarket Type1,3029.39
FDF35,15.0,Low Fat,0.15396020900000001,Starchy Foods,105.9938,OUT035,2004,Small,Tier 2,Supermarket Type1,1179.1318
FDE29,8.905,LF,0.143712172,Frozen Foods,60.2878,OUT018,2009,Medium,Tier 3,Supermarket Type2,1151.1682
FDR34,17.0,Regular,0.015965308,Snack Foods,229.4352,OUT046,1997,Small,Tier 1,Supermarket Type1,4809.7392
FDH12,9.6,Low Fat,0.08512595099999999,Baking Goods,107.12799999999999,OUT045,2002,,Tier 2,Supermarket Type1,1278.336
FDH21,10.395,Low Fat,0.031199027999999997,Seafood,159.4604,OUT013,1987,High,Tier 3,Supermarket Type1,316.9208
FDQ34,10.85,Low Fat,0.16210760300000002,Snack Foods,106.3622,OUT013,1987,High,Tier 3,Supermarket Type1,2117.244
FDJ33,8.895,Regular,0.088305478,Snack Foods,123.473,OUT035,2004,Small,Tier 2,Supermarket Type1,1478.076
FDU50,5.75,Regular,0.075595405,Dairy,114.7176,OUT017,2007,,Tier 2,Supermarket Type1,1259.6936
FDM28,15.7,Low Fat,0.045203854,Frozen Foods,180.266,OUT046,1997,Small,Tier 1,Supermarket Type1,1617.894
FDP28,13.65,Regular,0.080804019,Frozen Foods,261.1936,OUT045,2002,,Tier 2,Supermarket Type1,2348.9424
FDT52,9.695,Regular,0.047420609,Frozen Foods,246.0144,OUT035,2004,Small,Tier 2,Supermarket Type1,4165.2448
FDH21,10.395,LF,0.05226427,Seafood,158.4604,OUT010,1998,,Tier 3,Grocery Store,158.4604
FDP26,7.785,Low Fat,0.139552827,Dairy,105.6306,OUT046,1997,Small,Tier 1,Supermarket Type1,418.1224
FDW32,18.35,Regular,0.15783357,Fruits and Vegetables,87.5882,OUT010,1998,,Tier 3,Grocery Store,171.7764
FDG31,,Low Fat,0.037712875,Meat,64.4826,OUT027,1985,Medium,Tier 3,Supermarket Type3,2518.7214
FDU35,6.44,Low Fat,0.0,Breads,98.27,OUT046,1997,Small,Tier 1,Supermarket Type1,2396.88
NCL31,7.39,Low Fat,0.12052492199999999,Others,142.247,OUT045,2002,,Tier 2,Supermarket Type1,2433.499
FDR31,6.46,Regular,0.049121972,Fruits and Vegetables,144.6102,OUT013,1987,High,Tier 3,Supermarket Type1,2916.204
FDL32,15.7,Regular,0.12265733599999999,Fruits and Vegetables,110.1544,OUT049,1999,Medium,Tier 1,Supermarket Type1,1565.9616
FDQ51,16.0,Regular,0.029377239,Meat,46.1718,OUT010,1998,,Tier 3,Grocery Store,94.5436
FDZ57,10.0,Regular,0.037764307000000004,Snack Foods,127.2994,OUT046,1997,Small,Tier 1,Supermarket Type1,642.497
FDK27,,Low Fat,0.008903211999999999,Meat,120.9756,OUT027,1985,Medium,Tier 3,Supermarket Type3,2787.0388
FDX32,15.1,Regular,0.099839365,Fruits and Vegetables,143.3786,OUT035,2004,Small,Tier 2,Supermarket Type1,1733.7432
FDL57,15.1,Regular,0.067181098,Snack Foods,258.8304,OUT049,1999,Medium,Tier 1,Supermarket Type1,5424.9384
FDA13,15.85,Low Fat,0.07871426,Canned,37.2506,OUT045,2002,,Tier 2,Supermarket Type1,493.3578
DRH01,17.5,Low Fat,0.098457814,Soft Drinks,171.7738,OUT017,2007,,Tier 2,Supermarket Type1,2432.8332
FDE20,11.35,Regular,0.00552947,Fruits and Vegetables,169.27900000000002,OUT035,2004,Small,Tier 2,Supermarket Type1,2376.906
NCI54,15.2,Low Fat,0.0,Household,110.4912,OUT017,2007,,Tier 2,Supermarket Type1,1637.868
DRF03,19.1,Low Fat,0.045400017,Dairy,38.8138,OUT045,2002,,Tier 2,Supermarket Type1,690.4346
FDA03,18.5,Regular,0.045534457,Dairy,146.3102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3645.255
FDA37,7.81,Regular,0.055451725,Canned,122.6046,OUT018,2009,Medium,Tier 3,Supermarket Type2,2365.5874
FDL10,8.395,Low Fat,0.039715591,Snack Foods,100.1042,OUT017,2007,,Tier 2,Supermarket Type1,1289.6546
FDL36,,Low Fat,0.133198355,Baking Goods,91.083,OUT019,1985,Small,Tier 1,Grocery Store,89.883
NCG42,19.2,Low Fat,0.041220035,Household,131.231,OUT035,2004,Small,Tier 2,Supermarket Type1,3635.268
FDH45,15.1,reg,0.10564685300000001,Fruits and Vegetables,42.8796,OUT035,2004,Small,Tier 2,Supermarket Type1,949.4308
FDW03,5.63,Regular,0.024541277,Meat,105.1306,OUT046,1997,Small,Tier 1,Supermarket Type1,3135.9179999999997
FDJ20,20.7,Regular,0.16767231,Fruits and Vegetables,124.2388,OUT010,1998,,Tier 3,Grocery Store,247.6776
DRG13,17.25,Low Fat,0.03717912,Soft Drinks,162.5526,OUT035,2004,Small,Tier 2,Supermarket Type1,5920.2936
FDD04,,Low Fat,0.157528118,Dairy,142.9154,OUT019,1985,Small,Tier 1,Grocery Store,141.8154
FDV25,5.905,low fat,0.045614252,Canned,221.5456,OUT013,1987,High,Tier 3,Supermarket Type1,6852.4136
FDG09,20.6,Regular,0.047896392999999995,Fruits and Vegetables,185.8556,OUT013,1987,High,Tier 3,Supermarket Type1,1689.8004
NCO55,,Low Fat,0.090596378,Others,106.6938,OUT027,1985,Medium,Tier 3,Supermarket Type3,2251.0698
FDX04,19.6,Regular,0.041740902,Frozen Foods,49.2376,OUT018,2009,Medium,Tier 3,Supermarket Type2,958.752
FDC33,8.96,Regular,0.069219165,Fruits and Vegetables,196.5768,OUT018,2009,Medium,Tier 3,Supermarket Type2,2759.0752
FDQ14,9.27,Low Fat,0.062038986,Dairy,148.005,OUT018,2009,Medium,Tier 3,Supermarket Type2,1797.66
FDT07,,Regular,0.076944658,Fruits and Vegetables,257.133,OUT027,1985,Medium,Tier 3,Supermarket Type3,7433.656999999999
FDQ55,13.65,Regular,0.013064516000000002,Fruits and Vegetables,115.5834,OUT045,2002,,Tier 2,Supermarket Type1,1382.2008
DRL49,13.15,Low Fat,0.056543464,Soft Drinks,140.5812,OUT045,2002,,Tier 2,Supermarket Type1,427.4436
NCF54,18.0,Low Fat,0.047473135,Household,170.5422,OUT045,2002,,Tier 2,Supermarket Type1,3103.9596
NCW30,5.21,Low Fat,0.011072173000000001,Household,257.8962,OUT017,2007,,Tier 2,Supermarket Type1,4402.9354
FDY59,8.195,Low Fat,0.031467128,Baking Goods,91.8462,OUT045,2002,,Tier 2,Supermarket Type1,2313.655
DRC27,13.8,Low Fat,0.058192802,Dairy,246.9802,OUT049,1999,Medium,Tier 1,Supermarket Type1,5896.3248
FDM27,12.35,Regular,0.158337479,Meat,157.9946,OUT013,1987,High,Tier 3,Supermarket Type1,3313.6866
FDY47,8.6,reg,0.054706408,Breads,128.931,OUT018,2009,Medium,Tier 3,Supermarket Type2,1428.141
FDE16,8.895,Low Fat,0.026397141000000002,Frozen Foods,207.8954,OUT045,2002,,Tier 2,Supermarket Type1,3542.7218
DRI03,,Low Fat,0.0,Dairy,175.3028,OUT027,1985,Medium,Tier 3,Supermarket Type3,3719.1588
FDB28,6.615,Low Fat,0.156307983,Dairy,196.3426,OUT010,1998,,Tier 3,Grocery Store,790.9704
FDH02,7.27,Regular,0.020823289,Canned,92.4488,OUT045,2002,,Tier 2,Supermarket Type1,996.0368
FDM60,10.8,Regular,0.048218142,Baking Goods,42.2138,OUT049,1999,Medium,Tier 1,Supermarket Type1,690.4346
FDP57,17.5,Low Fat,0.052657753,Snack Foods,103.699,OUT018,2009,Medium,Tier 3,Supermarket Type2,1031.99
FDN46,7.21,Regular,0.0,Snack Foods,103.1332,OUT017,2007,,Tier 2,Supermarket Type1,3281.0624
NCT06,17.1,Low Fat,0.038816115,Household,166.4842,OUT045,2002,,Tier 2,Supermarket Type1,1326.2736
NCZ42,10.5,Low Fat,0.011285795,Household,235.8248,OUT035,2004,Small,Tier 2,Supermarket Type1,4266.4464
FDW21,,Regular,0.005935001,Snack Foods,98.8358,OUT027,1985,Medium,Tier 3,Supermarket Type3,2010.7160000000001
FDX10,6.385,Regular,0.123961415,Snack Foods,33.2874,OUT045,2002,,Tier 2,Supermarket Type1,141.1496
FDD35,12.15,Low Fat,0.026010729,Starchy Foods,119.14399999999999,OUT017,2007,,Tier 2,Supermarket Type1,2157.192
FDV22,14.85,Regular,0.009930514,Snack Foods,157.463,OUT013,1987,High,Tier 3,Supermarket Type1,2503.408
FDA33,6.48,Low Fat,0.034091649,Snack Foods,146.2076,OUT017,2007,,Tier 2,Supermarket Type1,2364.9216
FDB16,8.21,Low Fat,0.044925784,Dairy,86.0198,OUT046,1997,Small,Tier 1,Supermarket Type1,1569.9564
FDJ26,,Regular,0.08435471300000001,Canned,215.5218,OUT027,1985,Medium,Tier 3,Supermarket Type3,4915.6014
DRL11,10.5,LF,0.048213766,Hard Drinks,159.6946,OUT018,2009,Medium,Tier 3,Supermarket Type2,3629.2758
NCX54,9.195,Low Fat,0.048134591,Household,107.7622,OUT049,1999,Medium,Tier 1,Supermarket Type1,529.311
FDI35,14.0,Low Fat,0.041355366,Starchy Foods,182.0634,OUT049,1999,Medium,Tier 1,Supermarket Type1,4544.085
FDP19,11.5,Low Fat,0.17386795800000002,Fruits and Vegetables,128.8652,OUT045,2002,,Tier 2,Supermarket Type1,1291.652
FDE33,,Regular,0.049395242,Fruits and Vegetables,80.3644,OUT027,1985,Medium,Tier 3,Supermarket Type3,1885.5456
FDX45,16.75,Low Fat,0.105448901,Snack Foods,156.16299999999998,OUT017,2007,,Tier 2,Supermarket Type1,782.315
FDU33,7.63,Regular,0.225476528,Snack Foods,45.1402,OUT010,1998,,Tier 3,Grocery Store,45.9402
FDA02,,Regular,0.029578726,Dairy,143.5786,OUT027,1985,Medium,Tier 3,Supermarket Type3,3756.4436
FDS15,9.195,Regular,0.13065744199999998,Meat,106.4596,OUT010,1998,,Tier 3,Grocery Store,215.7192
FDE22,9.695,Low Fat,0.049498821,Snack Foods,158.792,OUT010,1998,,Tier 3,Grocery Store,319.584
FDM15,11.8,reg,0.057655492999999995,Meat,152.6366,OUT018,2009,Medium,Tier 3,Supermarket Type2,1662.5026
FDI33,16.5,Low Fat,0.028418817000000002,Snack Foods,92.8146,OUT046,1997,Small,Tier 1,Supermarket Type1,2097.9358
NCN14,,Low Fat,0.160936178,Others,184.2608,OUT019,1985,Small,Tier 1,Grocery Store,367.5216
